scenario;r;rr;value_min;Region_1_Coord;Region_2_Coord
6_AVG_SWE;R_MK;R_BG;0;Point (21.69747626732899093 41.5996823122770536);Point (25.23150624402950726 42.76137671439207821)
6_AVG_SWE;R_MK;R_RS;-0.0055264;Point (21.69747626732899093 41.5996823122770536);Point (20.80527172323537499 44.03149841861639402)
6_AVG_SWE;R_NL;R_BE;-0.011847;Point (5.60341802694661251 52.2492632896254392);Point (4.66398918713680199 50.64285116363035399)
6_AVG_SWE;R_NL;R_DE;-0.020477;Point (5.60341802694661251 52.2492632896254392);Point (10.39366155475279996 51.10659218573432838)
6_AVG_SWE;R_NL;R_DK;0;Point (5.60341802694661251 52.2492632896254392);Point (10.0462984146926555 55.96339824225690762)
6_AVG_SWE;R_NL;R_NO;0;Point (5.60341802694661251 52.2492632896254392);Point (6.098200857719917 60.76723986169972)
6_AVG_SWE;R_NL;R_UK;0;Point (5.60341802694661251 52.2492632896254392);Point (-2.89558470050635464 54.15534972029963967)
6_AVG_SWE;R_NO;R_DE;-1.02927;Point (6.098200857719917 60.76723986169972);Point (10.39366155475279996 51.10659218573432838)
6_AVG_SWE;R_NO;R_DK;-0.67546;Point (6.098200857719917 60.76723986169972);Point (10.0462984146926555 55.96339824225690762)
6_AVG_SWE;R_NO;R_FI;-0.105494;Point (6.098200857719917 60.76723986169972);Point (26.26637086488721096 64.50042200031850825)
6_AVG_SWE;R_NO;R_NL;-1.00628;Point (6.098200857719917 60.76723986169972);Point (5.60341802694661251 52.2492632896254392)
6_AVG_SWE;R_NO;R_SE;-0.090308;Point (6.098200857719917 60.76723986169972);Point (16.73975403305356124 62.78989678415778997)
6_AVG_SWE;R_NO;R_UK;-1.09542;Point (6.098200857719917 60.76723986169972);Point (-2.89558470050635464 54.15534972029963967)
6_AVG_SWE;R_PL;R_CZ;0;Point (19.40088385467417353 52.1246100865655464);Point (15.3384120900681058 49.74285888947336787)
6_AVG_SWE;R_PL;R_DE;-0.34583;Point (19.40088385467417353 52.1246100865655464);Point (10.39366155475279996 51.10659218573432838)
6_AVG_SWE;R_PL;R_DK;-0.03289;Point (19.40088385467417353 52.1246100865655464);Point (10.0462984146926555 55.96339824225690762)
6_AVG_SWE;R_PL;R_LT;0;Point (19.40088385467417353 52.1246100865655464);Point (23.89812325011706307 55.33567048559037005)
6_AVG_SWE;R_PL;R_SE;0;Point (19.40088385467417353 52.1246100865655464);Point (16.73975403305356124 62.78989678415778997)
6_AVG_SWE;R_PL;R_SK;-0.33648;Point (19.40088385467417353 52.1246100865655464);Point (19.49165388227613604 48.70753128946242327)
6_AVG_SWE;R_PT;R_ES;0;Point (-7.96218719075277637 39.69190982231604892);Point (-3.64956496042895662 40.22682992875569852)
