WKT;WKT_old;Region_1;Region_2;Region_1_Coord;Region_2_Coord;NEW_LINES;LoadFlow;YYY;XCapacityMonth
MultiLineString ((-8.38506352525257981 39.49223642008180946, -6.11063188176875194 39.69148704861871124));LINESTRING (-3.64956496042895662 40.22682992875569852,-7.96218719075277637 39.69190982231604892);R_ES;R_PT;Point (-3.64956496042895662 40.22682992875569852);Point (-7.96218719075277637 39.69190982231604892);MultiLineString ((-8.38506352525257981 39.49223642008180946, -6.11063188176875194 39.69148704861871124));NTC;2040;4200
MultiLineString ((-8.15057896021401795 53.17638162826426651, -1.61794734169303278 47.86320690651394472));LINESTRING (2.55195521677779524 46.56450205398793685,-8.15057896021401795 53.17638162826426651);R_FR;R_IE;Point (2.55195521677779524 46.56450205398793685);Point (-8.15057896021401795 53.17638162826426651);MultiLineString ((-8.15057896021401795 53.17638162826426651, -1.61794734169303278 47.86320690651394472));NTC;2040;2100
MultiLineString ((3.15519414961156208 45.84284316605176457, 9.36182780957094351 44.8627342774531499));LINESTRING (2.55195521677779524 46.56450205398793685,12.07174297035683175 42.79578239851078791);R_FR;R_IT;Point (2.55195521677779524 46.56450205398793685);Point (12.07174297035683175 42.79578239851078791);MultiLineString ((3.15519414961156208 45.84284316605176457, 9.36182780957094351 44.8627342774531499));NTC;2040;6605
MultiLineString ((12.47547611464004724 45.88331270581830523, 14.07685475349764737 46.01261727853987793));LINESTRING (12.07174297035683175 42.79578239851078791,14.82653748920358083 46.12356376353400123);R_IT;R_SI;Point (12.07174297035683175 42.79578239851078791);Point (14.82653748920358083 46.12356376353400123);MultiLineString ((12.47547611464004724 45.88331270581830523, 14.07685475349764737 46.01261727853987793));NTC;2040;1080
MultiLineString ((9.55683440188345656 35.58515630628098592, 12.91843810909822388 42.18052721413720718));LINESTRING (12.07174297035683175 42.79578239851078791,9.56133584498835454 34.1108585920798788);R_IT;R_TN;Point (12.07174297035683175 42.79578239851078791);Point (9.56133584498835454 34.1108585920798788);MultiLineString ((9.55683440188345656 35.58515630628098592, 12.91843810909822388 42.18052721413720718));NTC;2040;1600
MultiLineString ((8.692864797532037 51.48788940368436329, 4.13668428310492686 50.76820154294838261));LINESTRING (5.60341802694661251 52.2492632896254392,-2.89558470050635464 54.15534972029963967);R_NL;R_UK;Point (5.60341802694661251 52.2492632896254392);Point (-2.89558470050635464 54.15534972029963967);MultiLineString ((8.692864797532037 51.48788940368436329, 4.13668428310492686 50.76820154294838261));NTC;2040;3000
MultiLineString ((7.12248058394263772 59.91318572208340498, -2.02991491088301146 55.27027826462435911));LINESTRING (14.08480083670671767 64.44817113990757207,-2.89558470050635464 54.15534972029963967);R_NO;R_UK;Point (14.08480083670671767 64.44817113990757207);Point (-2.89558470050635464 54.15534972029963967);MultiLineString ((7.12248058394263772 59.91318572208340498, -2.02991491088301146 55.27027826462435911));NTC;2040;1400
MultiLineString ((-2.58158627334465063 54.6531779925014547, -7.127475531653654 53.74347729872711454));LINESTRING (-2.89558470050635464 54.15534972029963967,-8.15057896021401795 53.17638162826426651);R_UK;R_IE;Point (-2.89558470050635464 54.15534972029963967);Point (-8.15057896021401795 53.17638162826426651);MultiLineString ((-2.58158627334465063 54.6531779925014547, -7.127475531653654 53.74347729872711454));NTC;2040;4600
MultiLineString ((19.78897402412332696 42.01543137050334309, 19.34036653152704588 42.60703603412210327));LINESTRING (20.06838460591877649 41.14228482341689386,19.25030495955028798 42.79159324834609635);R_AL;R_ME;Point (20.06838460591877649 41.14228482341689386);Point (19.25030495955028798 42.79159324834609635);MultiLineString ((19.78897402412332696 42.01543137050334309, 19.34036653152704588 42.60703603412210327));NTC;2040;400
MultiLineString ((20.68618900931589266 42.65104466059628407, 20.21515114208979824 42.01543137050334309));LINESTRING (20.06838460591877649 41.14228482341689386,20.80527172323537499 44.03149841861639402);R_AL;R_RS;Point (20.06838460591877649 41.14228482341689386);Point (20.80527172323537499 44.03149841861639402);MultiLineString ((20.68618900931589266 42.65104466059628407, 20.21515114208979824 42.01543137050334309));NTC;2040;250
MultiLineString ((20.06838460591877649 41.14228482341689386, 20.99273746259002138 41.37901212486220004));LINESTRING (20.06838460591877649 41.14228482341689386,21.69747626732899093 41.5996823122770536);R_AL;R_MK;Point (20.06838460591877649 41.14228482341689386);Point (21.69747626732899093 41.5996823122770536);MultiLineString ((20.06838460591877649 41.14228482341689386, 20.99273746259002138 41.37901212486220004));NTC;2040;500
MultiLineString ((21.40396099746994807 40.08160531709473418, 20.15047067168095296 40.66708636149225953));LINESTRING (20.06838460591877649 41.14228482341689386,22.95974634066739384 39.06853720123029206);R_AL;R_GR;Point (20.06838460591877649 41.14228482341689386);Point (22.95974634066739384 39.06853720123029206);MultiLineString ((21.40396099746994807 40.08160531709473418, 20.15047067168095296 40.66708636149225953));NTC;2040;600
MultiLineString ((15.06480205892188096 49.65084945197212107, 14.71353190588215476 48.22324846560341172));LINESTRING (14.14019348879524962 47.59290260691519592,15.3384120900681058 49.74285888947336787);R_AT;R_CZ;Point (14.14019348879524962 47.59290260691519592);Point (15.3384120900681058 49.74285888947336787);MultiLineString ((15.06480205892188096 49.65084945197212107, 14.71353190588215476 48.22324846560341172));NTC;2040;1900
MultiLineString ((15.82933121553777767 47.60698058233428043, 17.92403778991440788 47.32061072631364596));LINESTRING (14.14019348879524962 47.59290260691519592,19.41344796118307769 47.16650222537332127);R_AT;R_HU;Point (14.14019348879524962 47.59290260691519592);Point (19.41344796118307769 47.16650222537332127);MultiLineString ((15.82933121553777767 47.60698058233428043, 17.92403778991440788 47.32061072631364596));NTC;2040;1800
MultiLineString ((18.11000434152367689 43.5285833438484886, 19.21030643854518871 42.97173000362521833));LINESTRING (17.78653069680730781 44.1681152245203279,19.25030495955028798 42.79159324834609635);R_BA;R_ME;Point (17.78653069680730781 44.1681152245203279);Point (19.25030495955028798 42.79159324834609635);MultiLineString ((18.11000434152367689 43.5285833438484886, 19.21030643854518871 42.97173000362521833));NTC;2040;500
MultiLineString ((18.8306247290095996 43.87775393404623259, 20.79360499599633627 43.73609034361010828));LINESTRING (17.78653069680730781 44.1681152245203279,20.80527172323537499 44.03149841861639402);R_BA;R_RS;Point (17.78653069680730781 44.1681152245203279);Point (20.80527172323537499 44.03149841861639402);MultiLineString ((18.8306247290095996 43.87775393404623259, 20.79360499599633627 43.73609034361010828));NTC;2040;1640
MultiLineString ((23.45654270029019628 40.91738315940639126, 24.26757215854288674 41.84299355304003853));LINESTRING (25.23150624402950726 42.76137671439207821,22.95974634066739384 39.06853720123029206);R_BG;R_GR;Point (25.23150624402950726 42.76137671439207821);Point (22.95974634066739384 39.06853720123029206);MultiLineString ((23.45654270029019628 40.91738315940639126, 24.26757215854288674 41.84299355304003853));NTC;2040;1700
MultiLineString ((25.14057313986302589 42.80993478295473409, 25.42468870482163013 45.19132332961283538));LINESTRING (25.23150624402950726 42.76137671439207821,24.96925875927502858 45.84361473342863746);R_BG;R_RO;Point (25.23150624402950726 42.76137671439207821);Point (24.96925875927502858 45.84361473342863746);MultiLineString ((25.14057313986302589 42.80993478295473409, 25.42468870482163013 45.19132332961283538));NTC;2040;2190
